timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583150465963,0,3,6.591796875E-7,78,20,37,706513,67912,15531,13179,16374,19275,19313,10043,Tag0,unknown
1583150470963,0,364,7.998046875E-5,74,35,63,1345076,352031,16762753,12535,26780,38925,50513,14844,Tag0,unknown
1583150475963,0,49,1.07666015625E-5,66,1,44,1970255,56430,6526,12621,4651,21333,19289,3192,Tag0,unknown
1583150480965,0,-91,-1.99951171875E-5,63,17,76,987604,94575,2928,7803,14842,16751729,26953,5256,Tag0,unknown
1583150485965,0,3,6.591796875E-7,69,23,58,652323,351060,59191,61105,16758731,149356,71919,20643,Tag0,unknown
1583150490973,0,-141,-3.09814453125E-5,35,26,40,39718,23390,966,652,473,1308,1254,245,Tag0,unknown
1583150495983,26,-266,-5.8447265625E-5,60,26,40,476161,16744473,14656,8365,6484,2089,664,377,Tag0,unknown
1583150500985,0,5,1.0986328125E-6,83,57,38,64104,16752855,23183,3867,15351,27107,16866,31299,Tag0,unknown
1583150505985,0,-349,-7.668457031250001E-5,77,29,59,348472,19395,4668,8750,7342,10419,11258,2825,Tag0,unknown
1583150510985,0,44,9.66796875E-6,100,41,45,120982,12207,3371,5413,2035,11601,16758662,8146,Tag0,unknown
1583150515990,0,-283,-6.218261718750001E-5,87,47,38,181977,12375,6727,2103,3547,6157,4000,194,Tag0,unknown
