timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583218668328,0,9,1.9775390625E-6,50,69,72,28759,90952,7813,11689,6070,10177,1923,2340,Tag0,unknown
1583218673347,0,-343,-7.53662109375E-5,7,91,72,701085,61362,16775896,7550,16747523,14470,7833,9935,Tag0,unknown
1583218678356,0,53,1.1645507812500002E-5,40,51,72,7513,5049,5361,2048,6230,1710,1156,684,Tag0,unknown
1583218683360,0,-10,-2.197265625E-6,63,50,72,5251,18861,7524,7735,4413,2778,4557,715,Tag0,unknown
1583218688360,0,56,1.23046875E-5,53,41,39,16763376,21575,2880,3627,3671,3580,1912,921,Tag0,unknown
1583218693360,0,-266,-5.8447265625E-5,84,70,39,20182,4753,3281,22710,5619,5203,8551,4977,Tag0,unknown
1583218698376,0,74,1.6259765625E-5,40,70,39,418253,80959,16756351,21245,8644,7940,6524,4489,Tag0,unknown
1583218703376,0,26,5.712890625E-6,64,47,39,16744709,10555,3959,6813,1462,4538,1899,1436,Tag0,unknown
1583218708376,0,-257,-5.64697265625E-5,54,40,42,63759,16751105,10794,11540,14010,13036,4213,3752,Tag0,unknown
1583218713376,0,36,7.91015625E-6,81,44,42,1680,17614,12820,681,4160,4478,1660,1051,Tag0,unknown
1583218718391,0,24,5.2734375E-6,41,61,42,898404,207319,28999,25486,5250,6654,2908,1945,Tag0,unknown
